24.88,23.53,20.94,25.31,30.54,29.65,31.83,29.83,32.60,97.48,80.16,85.51,102.66,111.33,132.52,137.53,143.38,133.77,131.68,114.65,85.32,105.49,329.88,186.61,252.63,274.72,223.80,322.60,225.56,233.63,194.99,98.94,368.79,257.67,267.15,317.93,235.75,303.07,269.28,246.49,227.14,152.81,97.79,232.61,143.48,229.96,149.90,175.92,157.25,138.50,124.62,88.89,65.70,21.20,102.54,24.51,70.17,31.51,40.81,29.73,27.72,22.81,18.60,10.24
13.60,13.17,27.45,29.73,32.17,27.75,42.70,57.97,56.02,53.93,46.18,41.93,114.93,112.58,138.50,111.24,150.55,192.90,170.87,160.64,127.61,100.87,221.54,264.29,273.69,211.26,244.32,292.06,280.01,237.57,179.08,124.93,160.91,350.19,235.60,292.65,222.39,276.96,289.23,206.14,189.14,109.96,58.52,265.43,142.79,190.14,142.13,159.93,177.98,112.27,102.19,69.55,41.60,81.32,79.00,50.55,54.03,42.22,45.70,31.58,23.00,19.96,12.18,12.00
26.80,23.62,23.35,28.12,33.91,39.45,44.14,37.15,34.13,28.36,51.41,120.17,101.17,113.82,106.75,137.53,174.26,146.31,159.95,120.82,115.94,90.09,299.15,222.07,252.63,219.42,217.28,270.11,268.34,258.27,196.98,184.89,118.93,269.61,352.91,266.40,264.38,268.56,252.06,271.93,233.05,184.34,133.98,110.11,75.52,255.02,161.84,162.68,132.47,129.75,120.05,110.84,80.22,57.50,45.83,31.51,29.46,64.61,29.52,32.05,29.03,21.03,26.17,22.48
27.52,20.08,23.35,30.03,32.86,41.89,36.30,36.77,42.67,38.49,40.95,128.76,88.52,107.18,128.37,162.31,180.33,166.02,145.82,151.72,142.92,103.18,209.41,315.80,196.49,203.10,287.21,285.38,256.68,221.80,219.86,201.88,166.90,154.20,407.13,281.96,211.89,247.12,289.23,261.41,184.07,172.22,156.31,118.13,77.57,218.40,181.55,111.95,139.55,141.72,126.29,89.64,73.62,65.64,44.82,24.73,72.61,44.78,30.60,35.42,28.83,26.29,20.49,17.52
16.00,26.33,22.81,19.69,22.53,35.36,47.66,50.84,48.36,61.02,65.93,68.34,94.85,152.04,122.85,128.93,175.92,182.74,138.75,144.85,126.15,117.81,320.17,211.94,164.91,219.42,285.35,281.56,255.70,214.90,222.85,204.88,122.93,357.16,356.85,224.59,228.11,280.69,314.62,228.95,178.16,187.58,146.30,96.25,245.77,188.85,119.44,136.21,154.72,148.62,99.70,74.39,67.35,58.67,33.17,72.21,65.48,33.75,33.73,37.74,32.44,23.71,17.69,17.12
12.88,29.05,26.02,22.40,29.49,42.98,37.74,42.59,48.58,49.12,45.60,125.45,112.33,97.62,111.81,167.36,131.25,127.80,140.03,111.21,87.50,267.96,249.83,185.76,220.18,302.83,261.10,221.43,202.23,175.47,124.36,200.89,389.78,216.88,214.90,272.23,304.47,232.20,206.72,194.74,148.61,98.64,255.64,254.49,155.84,163.80,200.06,174.82,137.02,109.05,90.56,72.16,51.83,110.94,72.67,47.92,51.78,56.14,34.68,27.75,21.39,16.84,12.26,10.16
31.04,16.79,20.85,27.82,31.58,37.00,39.02,38.27,42.01,35.95,48.50,129.42,65.83,106.35,142.18,139.05,166.54,166.02,127.83,142.11,113.75,110.11,328.26,134.26,238.60,268.38,234.99,295.88,249.87,196.17,226.83,152.91,178.90,391.98,137.02,313.07,269.15,207.95,310.99,200.88,193.36,175.45,108.57,172.09,228.61,103.42,197.08,135.11,130.96,155.98,89.73,96.71,60.42,37.76,100.77,33.48,62.66,39.34,33.60,41.46,21.90,26.74,13.17,14.08
16.32,25.43,24.78,26.01,29.15,36.86,43.34,40.71,49.89,51.40,58.67,91.78,104.89,109.25,116.41,134.50,121.87,124.22,113.06,80.32,278.55,231.77,212.64,168.03,271.93,276.54,290.01,233.84,220.70,215.88,114.41,230.87,369.79,269.61,205.04,273.20,315.92,258.31,175.90,174.56,107.24,114.00,320.32,199.07,170.25,170.87,190.51,173.71,121.86,113.65,73.94,51.70,37.31,115.01,58.74,49.67,52.91,52.30,41.89,28.22,26.01,17.47,11.27,14.64
25.92,25.76,24.95,24.00,20.79,17.27,47.18,58.91,65.42,45.07,80.74,77.25,107.49,96.79,99.39,106.69,87.68,130.19,195.92,190.16,193.97,252.56,201.32,181.54,144.74,60.75,291.88,293.01,266.40,203.07,300.45,253.85,312.82,267.62,247.43,195.42,91.63,200.49,281.98,206.14,195.90,239.32,194.04,215.84,177.12,147.74,109.29,51.84,161.29,125.61,99.70,98.94,105.65,83.64,79.00,56.02,42.40,29.11,12.92,44.47,27.62,21.66,25.92,26.16
26.40,20.16,19.61,31.03,36.11,32.78,34.70,38.84,32.17,74.95,106.30,88.15,85.17,122.96,146.32,116.29,110.85,117.65,68.09,127.69,291.68,169.40,174.64,209.41,301.76,232.11,164.12,196.62,145.84,78.86,350.19,328.81,208.88,246.73,324.32,319.87,220.48,230.33,202.19,136.84,95.41,315.32,214.83,154.59,169.57,219.04,187.52,132.90,136.52,98.47,61.90,42.03,129.75,81.61,56.21,55.58,65.10,49.90,28.56,30.42,19.38,15.33,8.97,31.60
12.24,15.39,29.05,15.87,33.79,32.10,46.54,47.47,61.70,52.92,55.18,111.59,36.45,156.20,75.46,151.69,153.31,150.49,156.09,158.58,119.59,312.62,173.83,193.36,235.97,273.82,193.03,283.47,231.40,168.57,329.30,76.96,332.81,233.79,287.85,213.90,284.42,219.14,190.40,119.30,298.06,224.77,164.78,145.84,192.91,208.77,146.31,127.39,94.05,147.70,57.74,111.95,75.93,93.52,55.70,67.83,51.60,38.54,19.99,50.63,20.19,24.33,15.72,24.00
26.48,21.31,25.13,25.91,24.04,18.23,40.62,66.98,28.88,72.16,91.19,73.62,116.79,99.70,104.91,101.63,87.68,241.87,79.65,211.44,218.03,144.76,287.83,176.47,221.06,176.80,116.56,395.14,108.89,322.35,267.62,198.89,370.79,190.02,296.72,169.17,146.98,373.01,72.53,312.28,176.47,217.49,231.00,193.97,175.06,147.10,85.40,220.04,42.98,150.00,93.05,101.17,85.84,85.97,54.44,54.05,22.33,60.77,21.22,33.09,27.52,25.67,20.98,24.40
28.16,22.63,22.73,27.22,36.93,35.50,33.27,43.72,41.14,41.78,90.32,86.17,84.80,112.16,134.36,124.89,112.50,112.87,61.02,238.22,214.38,209.44,153.62,246.56,235.97,256.59,238.72,190.89,203.20,86.75,249.71,311.82,320.82,205.94,293.76,297.51,288.24,205.15,189.50,114.91,84.44,316.94,209.44,169.90,172.31,199.77,204.84,145.04,141.57,87.88,56.08,63.60,137.67,74.93,56.21,72.21,56.29,48.14,32.10,28.10,19.28,10.43,25.67,29.20
25.04,22.46,26.02,26.72,29.38,24.62,19.35,78.24,44.42,60.51,89.45,92.44,97.45,112.99,103.07,84.94,52.94,203.64,170.23,128.38,220.95,215.60,215.07,255.00,201.76,197.66,131.48,194.71,351.96,138.99,318.36,266.85,258.85,320.35,219.83,246.95,158.44,106.31,369.93,93.86,286.24,194.05,202.51,239.18,148.28,185.00,103.91,68.38,208.82,40.95,151.63,74.02,92.77,91.49,57.98,67.39,32.83,26.39,55.90,10.92,39.07,15.33,26.08,22.00
15.52,27.98,29.94,23.70,26.13,34.55,51.34,41.46,45.29,36.71,47.63,100.36,110.10,108.42,115.95,143.09,167.65,120.63,123.33,76.20,175.74,242.55,264.39,173.94,242.99,267.47,285.35,204.25,190.56,142.94,154.20,356.80,280.84,284.53,178.43,400.57,237.66,179.98,221.23,125.44,86.13,346.05,201.74,175.74,222.43,188.21,167.22,147.24,118.32,99.39,62.73,71.04,123.80,31.37,94.69,46.39,60.04,42.22,31.56,29.73,17.48,11.14,34.64,6.48
24.00,25.51,22.55,22.70,21.13,15.91,56.30,51.22,48.58,70.64,87.13,89.47,110.10,93.05,91.56,79.89,53.49,240.67,134.25,173.00,220.95,233.31,232.05,232.20,189.48,174.08,156.66,144.12,400.57,177.44,278.56,316.82,298.83,325.32,266.16,240.15,214.75,159.46,213.07,360.53,146.08,257.92,241.01,203.44,218.99,143.25,139.15,97.61,47.53,184.51,90.14,93.73,97.72,76.67,81.02,54.70,48.78,33.27,18.91,31.93,27.32,17.47,25.67,19.12
24.64,24.69,19.25,28.32,29.73,30.47,32.95,28.71,51.20,77.22,85.39,71.64,114.93,109.25,122.85,72.30,61.21,225.74,190.14,210.76,142.19,233.31,262.77,236.43,222.81,192.22,101.64,300.65,285.84,286.86,234.79,327.81,298.83,257.67,200.11,169.17,68.72,380.47,204.00,215.79,231.36,237.71,214.83,203.44,157.90,120.12,54.35,190.26,134.50,93.40,121.72,106.00,82.87,87.13,61.27,43.32,26.45,44.14,41.89,21.60,31.34,25.93,21.56,23.84
30.32,20.32,24.15,25.51,39.02,28.29,31.83,24.58,75.27,75.45,79.87,76.59,109.72,116.73,69.02,41.46,150.00,192.90,228.04,103.66,220.22,217.14,256.30,146.08,79.83,187.68,310.53,295.88,172.09,285.87,321.34,277.84,154.91,164.15,141.95,363.62,181.34,232.20,251.15,259.65,243.18,185.15,172.48,98.44,166.82,218.40,103.32,143.38,163.82,121.93,115.48,89.27,65.04,33.69,76.21,66.08,35.08,43.18,47.47,30.54,27.22,21.83,15.47,6.24
