12.72,33.49,12.66,27.72,37.27,28.70,48.62,38.46,40.48,103.81,42.69,94.75,97.82,110.08,117.79,90.00,115.26,181.55,138.11,181.92,157.51,233.31,185.15,170.56,179.83,274.72,213.55,234.79,231.40,299.68,217.87,215.88,193.89,348.20,166.60,254.73,255.79,238.72,210.35,194.74,149.45,300.77,97.02,220.95,192.22,131.04,194.09,114.15,118.82,117.33,115.48,93.36,86.17,77.25,77.73,49.67,47.47,28.31,49.24,16.02,28.62,23.71,18.02,26.32
31.76,24.60,24.86,25.11,19.04,11.83,67.01,35.65,63.46,87.35,75.80,92.77,80.71,46.53,191.87,72.81,132.35,186.33,154.17,185.36,144.38,100.87,333.11,103.86,235.09,275.63,198.63,277.74,189.59,163.64,411.87,109.94,298.83,288.51,210.96,294.59,190.89,187.44,313.71,125.44,260.91,214.26,168.63,245.74,147.60,163.80,114.06,193.57,96.57,126.53,115.90,95.59,87.82,65.64,51.65,66.52,36.40,41.90,32.37,28.10,28.93,19.96,20.16,14.48
18.40,21.07,22.10,21.90,27.64,37.00,43.82,52.16,42.01,64.82,70.86,82.21,100.42,100.11,121.01,111.74,148.90,137.95,163.80,164.07,202.72,196.35,215.88,217.85,263.16,259.31,258.31,231.93,191.53,138.99,403.91,234.87,308.82,354.17,254.33,159.45,68.72,374.87,130.56,214.91,246.56,224.77,207.13,145.11,87.19,271.72,90.18,147.79,143.60,126.99,112.16,73.27,56.12,108.62,41.52,59.08,45.03,46.38,33.73,23.69,18.88,32.89,13.91,21.84
22.96,21.48,19.87,23.80,28.22,36.32,24.63,58.35,68.05,60.51,77.54,51.83,89.27,127.12,93.40,160.28,143.93,122.43,130.40,218.99,108.65,135.52,192.43,217.00,171.05,240.27,196.76,237.66,224.59,263.20,237.77,227.87,275.84,191.01,394.31,194.45,267.24,174.38,255.68,225.44,211.94,205.36,214.06,203.44,148.28,165.09,157.66,133.46,108.71,113.19,108.42,92.99,73.62,79.00,74.69,54.48,46.34,27.51,30.47,32.17,21.69,21.75,15.96,20.32
21.36,20.98,21.39,24.91,26.59,27.20,46.70,43.53,56.02,59.75,75.80,68.67,95.22,100.11,119.63,109.21,129.04,163.63,143.89,132.50,196.15,191.73,198.90,243.18,191.23,260.22,278.82,201.39,263.48,270.10,209.92,259.85,197.89,253.69,244.47,216.81,236.70,222.87,229.39,216.67,194.21,157.66,193.27,133.44,184.67,165.09,140.34,154.41,123.37,107.21,112.99,66.21,76.26,88.00,63.05,47.92,58.35,38.54,33.73,25.89,27.12,23.08,18.43,17.44
20.40,20.57,25.22,31.64,30.08,38.77,36.94,28.33,98.68,31.65,82.48,102.67,106.75,120.89,87.88,101.63,180.33,152.88,181.15,109.84,239.18,172.48,142.30,246.56,128.07,275.63,268.56,148.89,301.40,214.90,179.08,361.79,77.96,342.23,277.00,168.20,304.47,184.64,173.18,298.25,94.57,249.02,226.38,139.28,236.84,135.54,131.38,157.17,99.61,133.44,112.99,64.35,118.85,56.63,57.48,38.07,64.17,33.27,34.96,26.01,34.85,17.82,19.50,12.08
23.92,21.07,15.33,26.72,26.01,34.82,44.46,49.53,46.83,67.10,79.00,70.65,94.10,97.21,121.01,112.25,170.96,138.55,175.36,190.85,158.96,211.75,190.00,207.72,173.69,246.62,235.93,256.75,226.54,256.30,220.86,239.86,242.86,257.67,269.12,206.12,238.61,186.50,233.92,201.76,219.54,218.30,175.56,206.36,184.67,158.66,137.95,149.45,127.42,133.90,105.52,104.14,82.21,87.13,68.62,57.33,49.72,38.22,34.14,30.42,28.22,21.12,19.50,16.56
25.76,14.40,19.34,20.49,23.22,37.81,31.35,53.47,58.64,49.63,76.67,76.92,74.02,120.05,108.13,125.39,125.73,123.62,170.87,168.88,151.67,139.37,166.56,224.60,219.30,269.28,244.32,265.34,182.78,170.54,242.75,242.86,244.86,224.84,259.26,237.23,240.52,274.16,220.32,192.11,217.00,211.02,173.25,166.99,212.13,234.46,166.62,130.70,76.35,39.57,95.55,103.40,97.06,80.45,72.92,62.14,39.40,18.23,57.13,19.51,25.91,27.18,20.74,20.96
20.24,17.20,16.58,17.68,26.01,35.91,33.91,49.53,36.76,70.39,74.35,84.52,121.25,109.67,91.10,113.26,115.26,140.94,154.17,165.45,210.01,204.05,244.17,209.41,212.28,266.56,223.80,234.79,306.26,330.23,228.82,234.87,229.87,250.71,270.10,222.65,235.75,214.48,204.91,226.32,180.70,199.70,176.33,176.46,162.70,167.01,166.62,167.09,157.75,95.71,51.10,30.87,132.39,65.06,61.78,73.52,45.03,35.18,17.41,47.73,13.06,22.99,25.18,20.24
19.44,20.24,23.97,18.38,29.73,31.83,36.78,47.28,56.02,63.30,68.25,92.11,98.94,82.25,131.59,146.63,132.90,162.44,165.09,183.30,186.67,183.26,188.39,178.16,187.72,200.38,223.80,240.52,257.65,249.40,215.89,201.88,197.89,306.42,208.98,223.62,294.92,269.50,202.19,273.69,245.71,188.39,217.91,123.96,158.58,144.53,146.91,145.59,134.50,96.63,101.78,98.19,71.31,65.64,76.72,61.70,52.35,30.39,42.17,28.57,27.72,17.47,15.31,16.16
