15.04,7.98,38.86,21.69,28.33,43.53,46.54,60.23,47.26,54.94,25.85,138.33,71.79,117.98,118.25,137.02,174.82,127.80,143.89,57.67,287.30,127.82,273.28,207.72,250.00,263.84,211.68,190.89,110.84,370.65,175.10,379.78,209.88,319.35,237.57,258.62,162.26,193.03,286.51,200.88,297.22,193.24,241.78,182.30,192.91,99.57,105.11,164.89,127.42,151.38,106.35,108.61,90.79,76.67,43.55,30.85,55.91,39.02,42.98,29.26,28.42,25.76,20.32,14.64
12.32,18.27,34.22,15.87,34.72,45.97,42.86,58.16,36.10,30.64,90.03,83.86,70.30,159.10,130.67,163.82,142.83,98.54,68.73,273.23,156.05,237.16,278.94,232.20,309.65,172.27,158.53,236.70,361.68,161.67,366.11,259.85,309.82,301.44,169.55,134.17,274.88,305.86,153.23,321.93,183.23,269.24,227.15,149.48,118.08,170.87,210.81,102.57,178.49,113.65,132.52,119.77,76.59,63.02,30.64,80.96,30.39,47.02,38.22,26.36,36.66,21.12,19.01,7.76
30.80,19.01,16.58,9.54,31.24,42.57,32.47,68.11,57.77,80.01,90.03,59.43,54.30,117.98,161.50,70.79,201.29,160.65,200.42,200.46,121.05,80.85,293.49,188.30,189.48,336.38,200.49,370.32,226.54,197.16,88.54,346.80,197.89,213.90,329.25,188.62,352.19,220.07,207.63,111.40,271.89,222.34,154.00,244.28,136.61,225.47,158.26,129.04,91.52,121.01,148.72,65.09,123.14,72.90,79.00,72.21,45.03,37.42,14.01,44.94,14.36,26.83,23.29,17.36
11.44,26.91,28.52,19.28,38.78,34.00,51.98,54.03,50.98,52.66,26.72,116.21,92.99,88.48,155.06,119.33,191.36,155.87,145.82,133.18,73.65,283.36,130.17,225.45,260.53,204.00,331.04,229.07,235.29,144.91,313.38,317.82,189.89,349.20,236.59,294.59,286.33,234.06,205.82,79.83,303.98,144.73,204.05,207.82,162.70,227.40,157.06,146.14,96.57,123.77,132.52,72.16,111.59,65.64,79.25,63.89,53.66,33.11,16.87,43.66,16.17,27.09,17.77,22.40
25.84,24.19,24.69,23.80,24.97,37.00,48.14,43.53,57.55,69.88,81.61,98.05,90.38,76.02,77.30,147.14,173.71,121.23,181.15,186.04,222.40,233.31,192.43,182.39,101.76,276.54,213.55,183.25,295.57,255.32,310.40,285.84,230.87,184.05,106.46,361.68,162.26,248.98,288.32,207.90,301.44,198.09,174.79,80.21,218.99,215.83,116.45,193.57,137.02,134.36,137.09,89.64,71.97,24.69,88.87,40.04,43.90,49.90,31.42,37.86,27.42,19.96,13.82,19.36
26.40,23.95,25.13,22.30,17.65,28.16,62.69,36.96,63.46,75.96,84.22,102.34,96.71,85.58,43.25,162.31,134.01,136.16,198.49,175.75,226.78,207.90,177.87,151.99,191.23,307.36,192.10,264.38,281.96,260.24,298.46,250.86,208.88,122.37,316.43,262.51,194.71,289.08,227.58,268.42,233.89,198.09,146.30,99.17,247.14,116.91,161.24,164.89,120.84,161.96,103.02,80.71,31.03,100.78,65.07,46.39,60.60,35.82,41.49,31.24,23.60,14.53,22.88,25.28
25.92,24.27,28.25,26.62,24.85,13.60,50.06,43.34,45.51,81.02,70.28,108.95,103.40,90.14,57.98,153.71,159.37,108.69,206.84,154.46,224.59,220.22,189.19,155.37,225.44,326.41,176.25,333.10,247.93,276.02,328.30,232.87,229.87,83.57,339.11,148.76,246.25,257.37,189.50,297.37,209.41,219.92,141.68,195.42,236.16,119.48,223.95,126.84,159.27,144.02,111.75,88.89,39.29,109.78,47.85,59.08,50.84,36.46,42.44,31.47,29.53,17.56,9.87,28.16
10.32,34.64,24.69,24.81,42.15,36.32,36.14,30.39,28.01,27.35,116.17,85.18,85.55,134.18,135.74,132.47,123.53,105.70,66.81,210.76,246.47,143.99,267.62,267.67,268.42,245.71,211.68,166.07,116.67,382.48,232.80,266.85,352.80,311.39,310.52,239.18,186.12,95.12,293.76,321.06,153.68,275.71,244.86,217.30,199.09,122.69,78.23,92.65,183.54,88.80,111.33,117.16,94.75,89.45,60.51,44.86,18.39,60.13,33.87,25.78,34.65,23.53,26.91,20.96
18.40,15.72,26.56,33.45,29.96,48.29,44.62,38.84,37.85,42.28,114.14,76.92,94.85,133.35,119.17,144.61,124.08,105.11,68.09,260.87,172.09,195.58,267.62,247.40,252.63,213.07,162.26,165.12,365.57,204.06,257.67,316.82,265.85,305.42,216.87,202.23,83.99,322.65,193.12,184.21,266.82,206.98,235.62,177.92,153.78,59.74,206.63,150.55,113.26,160.58,107.59,121.63,91.45,64.77,35.45,63.89,62.85,28.15,44.75,29.38,28.52,26.91,19.01,15.52
10.16,33.16,15.51,31.54,28.10,36.32,48.30,49.34,57.98,43.04,62.73,101.02,80.34,140.41,103.07,165.84,150.00,174.98,125.26,107.09,289.49,113.96,269.24,131.72,277.20,186.78,304.00,240.52,212.92,80.83,318.36,155.91,298.83,241.75,287.85,287.79,261.52,232.20,216.70,139.48,213.63,260.34,171.71,244.28,135.24,192.07,152.29,147.24,108.20,77.76,98.04,122.00,75.93,79.58,66.84,59.95,49.34,45.42,31.15,14.28,19.48,28.88,21.31,18.96
26.32,20.16,22.81,20.89,16.72,25.44,65.73,42.21,60.83,89.12,79.87,82.21,83.32,71.45,58.44,158.26,212.87,119.44,213.91,222.43,201.26,214.83,169.79,133.41,85.97,320.97,255.51,191.84,346.12,271.09,289.50,257.85,206.88,133.31,174.48,375.29,171.80,270.43,295.58,237.72,265.13,198.90,157.85,80.94,238.22,208.77,115.86,199.63,141.07,143.10,118.81,87.41,56.12,50.24,93.94,35.67,57.97,44.94,38.09,36.23,25.61,21.03,8.15,30.00
10.48,11.11,32.35,30.93,25.20,44.75,50.06,52.72,59.08,41.52,28.46,113.24,104.14,83.91,157.36,142.08,168.20,170.80,132.33,76.20,232.61,222.53,142.30,287.93,235.09,269.28,271.36,192.80,132.23,295.73,323.33,162.91,344.80,243.74,306.58,292.65,223.34,167.85,237.55,322.81,140.17,278.13,172.48,212.19,205.95,157.38,130.19,62.32,194.16,72.70,147.89,88.89,94.09,89.16,64.06,53.17,16.32,58.85,17.95,36.11,22.90,24.95,24.69,20.96
